DATE,TCMILBSNNCB,WCMITCMFODNS,SLGTCMDODNS,TCMILBSHNO,FGTCMDODNS
1945-10-01,44.653,5.52,12.635,29.442,254.385
1946-01-01,.,.,.,.,.
1946-04-01,.,.,.,.,.
1946-07-01,.,.,.,.,.
1946-10-01,49.889,7.823,12.683,36.067,231.306
1947-01-01,.,.,.,.,.
1947-04-01,.,.,.,.,.
1947-07-01,.,.,.,.,.
1947-10-01,56.78,11.904,14.313,44.913,224.898
1948-01-01,.,.,.,.,.
1948-04-01,.,.,.,.,.
1948-07-01,.,.,.,.,.
1948-10-01,62.811,13.116,15.717,53.423,220.012
1949-01-01,.,.,.,.,.
1949-04-01,.,.,.,.,.
1949-07-01,.,.,.,.,.
1949-10-01,64.394,13.469,16.618,61.273,223.629
1950-01-01,.,.,.,.,.
1950-04-01,.,.,.,.,.
1950-07-01,.,.,.,.,.
1950-10-01,70.439,13.614,21.21,74.845,223.234
1951-01-01,.,.,.,.,.
1951-04-01,.,.,.,.,.
1951-07-01,.,.,.,.,.
1951-10-01,78.868,14.213,23.586,83.447,223.506
1952-01-01,79.768,14.445,25.787,84.061,222.201
1952-04-01,80.77,14.656,28.324,88.204,222.032
1952-07-01,82.528,14.722,29.675,91.189,225.653
1952-10-01,85.098,14.765,30.795,95.595,229.829
1953-01-01,86.504,14.93,32.134,97.869,226.911
1953-04-01,87.354,15.156,33.218,102.319,226.926
1953-07-01,88.338,15.597,34.637,104.806,233.608
1953-10-01,89.252,15.887,35.786,108.158,237.379
1954-01-01,90.165,16.028,37.186,107.988,233.493
1954-04-01,90.151,15.881,38.343,111.763,232.735
1954-07-01,91.166,15.788,39.829,115.171,234.566
1954-10-01,92.843,15.986,41.102,120.453,240.195
1955-01-01,93.72,15.876,42.602,123.626,236.08
1955-04-01,95.386,15.93,43.705,130.685,234.433
1955-07-01,96.873,15.935,45.109,135.989,236.252
1955-10-01,101.216,15.97,46.148,141.563,240.077
1956-01-01,103.603,16.134,47.39,143.247,235.799
1956-04-01,105.982,16.376,48.313,148.421,230.35
1956-07-01,107.756,16.462,49.533,151.718,231.549
1956-10-01,110.961,16.696,50.381,156.401,235.039
1957-01-01,113.545,17.019,51.501,157.484,233.391
1957-04-01,116.337,17.184,52.414,162.474,227.347
1957-07-01,117.824,17.32,53.836,165.542,231.343
1957-10-01,120.632,17.978,55.039,168.575,233.24
1958-01-01,122.358,18.416,56.55,167.641,232.414
1958-04-01,123.271,18.863,57.73,171.149,234.972
1958-07-01,124.277,19.291,59.33,174.659,235.84
1958-10-01,127.965,19.848,60.669,180.371,243.374
1959-01-01,128.85,19.962,62.272,182.567,243.058
1959-04-01,131.925,20.314,63.593,189.505,243.702
1959-07-01,132.897,20.625,65.575,195.611,247.998
1959-10-01,136.645,20.684,66.696,202.315,251.18
1960-01-01,138.74,21.062,68.321,203.148,247.528
1960-04-01,141.401,21.481,69.524,209.907,245.933
1960-07-01,141.921,21.822,71.174,214.461,247.439
1960-10-01,145.592,22.42,72.211,219.861,250.072
1961-01-01,145.527,23.016,73.71,220.584,248.141
1961-04-01,147.691,22.961,74.653,226.654,249.032
1961-07-01,148.366,23.633,76.459,230.869,254.269
1961-10-01,152.987,24.413,77.815,237.901,258.176
1962-01-01,153.763,25.165,79.588,239.141,258.932
1962-04-01,157.22,25.63,80.915,246.172,259.637
1962-07-01,158.722,25.578,82.316,252.328,260.143
1962-10-01,163.466,26.268,83.77,259.752,266.044
1963-01-01,164.731,27.099,85.007,262.568,266.77
1963-04-01,167.54,28.379,86.776,271.958,267.323
1963-07-01,168.693,28.658,88.053,279.337,267.111
1963-10-01,174.184,29.353,89.243,288.211,271.008
1964-01-01,175.70,29.922,90.376,292.001,271.258
1964-04-01,179.699,30.743,92.222,301.505,270.807
1964-07-01,181.90,31.302,94.132,308.222,273.696
1964-10-01,187.925,32.937,95.624,317.13,278.309
1965-01-01,192.273,34.12,97.184,320.497,278.254
1965-04-01,197.852,34.52,99.513,329.929,275.83
1965-07-01,201.135,34.654,101.624,336.667,275.013
1965-10-01,208.193,35.305,103.174,345.863,281.252
1966-01-01,213.609,36.007,104.665,348.849,281.804
1966-04-01,222.314,36.579,107.051,358.365,278.555
1966-07-01,226.596,36.542,108.731,362.093,279.93
1966-10-01,232.924,37.277,110.037,368.393,286.101
1967-01-01,238.652,38.647,111.288,368.006,288.574
1967-04-01,246.017,39.573,113.659,375.10,281.611
1967-07-01,249.541,40.473,115.889,380.913,290.008
1967-10-01,255.245,41.452,117.372,402.322,300.362
1968-01-01,262.494,42.388,118.914,393.697,306.084
1968-04-01,270.201,42.692,121.158,406.261,303.668
1968-07-01,275.653,43.273,123.197,413.578,311.406
1968-10-01,286.074,44.127,126.125,426.692,314.219
1969-01-01,293.156,44.89,129.933,425.24,314.381
1969-04-01,303.729,45.833,133.548,436.394,302.979
1969-07-01,309.856,46.424,136.325,441.993,307.801
1969-10-01,318.879,47.121,138.257,453.272,312.583
1970-01-01,338.219,47.736,140.356,445.469,314.538
1970-04-01,350.546,48.284,143.57,451.801,310.108
1970-07-01,356.114,48.635,146.348,458.431,317.592
1970-10-01,363.384,49.993,150.317,467.163,327.027
1971-01-01,369.808,51.197,154.655,469.639,329.092
1971-04-01,379.216,52.261,158.807,483.064,332.62
1971-07-01,385.805,53.205,162.965,495.415,341.74
1971-10-01,392.236,54.179,166.747,511.31,354.745
1972-01-01,401.32,55.489,171.129,518.277,358.706
1972-04-01,411.591,55.721,174.21,537.901,354.80
1972-07-01,417.754,56.041,177.747,553.025,359.989
1972-10-01,431.815,57.569,180.71,571.267,372.75
1973-01-01,444.395,58.785,184.043,583.239,380.75
1973-04-01,461.70,60.489,186.85,601.75,376.407
1973-07-01,478.311,60.371,190.725,620.571,374.976
1973-10-01,497.437,62.24,194.779,636.677,381.829
1974-01-01,510.112,62.614,198.757,640.514,384.779
1974-04-01,529.498,67.002,202.564,660.692,382.611
1974-07-01,538.898,69.762,206.553,678.739,386.064
1974-10-01,553.066,73.051,208.213,691.472,396.457
1975-01-01,556.872,76.588,209.744,690.577,415.886
1975-04-01,562.793,78.705,212.67,704.331,437.743
1975-07-01,564.877,80.901,214.487,724.07,460.139
1975-10-01,572.665,86.086,219.359,747.477,485.926
1976-01-01,576.041,89.531,224.015,756.712,509.489
1976-04-01,589.478,92.785,231.469,783.379,525.084
1976-07-01,597.899,96.305,235.612,808.3,541.821
1976-10-01,614.346,102.217,237.83,836.261,559.712
1977-01-01,630.583,103.917,239.122,852.727,576.214
1977-04-01,649.968,106.534,246.59,891.184,576.622
1977-07-01,663.882,110.461,252.133,929.088,602.205
1977-10-01,690.322,112.42,256.165,966.509,622.606
1978-01-01,709.545,116.759,264.139,988.956,641.819
1978-04-01,733.612,119.918,274.834,1038.797,645.778
1978-07-01,745.062,122.257,284.847,1085.944,666.778
1978-10-01,766.056,132.21,295.601,1128.024,682.118
1979-01-01,789.221,134.796,301.844,1155.013,690.445
1979-04-01,815.2,138.501,309.535,1202.081,687.429
1979-07-01,834.716,149.309,317.129,1252.102,707.368
1979-10-01,851.772,155.569,322.216,1296.909,725.909
1980-01-01,875.36,158.732,326.092,1325.355,741.331
1980-04-01,880.924,165.01,332.508,1343.148,748.918
1980-07-01,892.508,169.701,339.435,1378.505,786.215
1980-10-01,919.612,175.821,344.434,1420.202,812.184
1981-01-01,936.893,182.406,349.48,1428.866,843.545
1981-04-01,977.133,189.709,355.332,1465.475,842.407
1981-07-01,1014.01,193.788,364.627,1495.81,871.686
1981-10-01,1038.68,222.513,372.054,1526.567,907.658
1982-01-01,1069.68,232.817,380.108,1530.208,937.167
1982-04-01,1099.614,245.318,392.635,1554.07,948.245
1982-07-01,1120.252,253.797,403.231,1563.669,1017.754
1982-10-01,1129.934,267.243,413.774,1597.908,1081.029
1983-01-01,1160.659,272.231,421.714,1590.371,1133.939
1983-04-01,1184.512,278.761,438.394,1640.797,1183.081
1983-07-01,1208.211,290.774,449.996,1697.873,1242.549
1983-10-01,1247.243,265.006,461.109,1759.608,1280.78
1984-01-01,1291.913,275.406,471.54,1791.459,1327.638
1984-04-01,1351.459,291.413,488.008,1855.999,1362.175
1984-07-01,1390.242,290.434,504.998,1911.347,1428.915
1984-10-01,1457.968,287.264,513.634,1977.678,1496.457
1985-01-01,1486.296,286.901,537.245,2051.338,1547.569
1985-04-01,1527.269,287.674,563.616,2125.961,1597.393
1985-07-01,1558.453,286.954,589.238,2216.808,1658.103
1985-10-01,1638.943,290.064,677.931,2329.784,1762.014
1986-01-01,1682.974,298.24,680.083,2353.403,1797.119
1986-04-01,1741.673,297.704,711.122,2418.96,1853.876
1986-07-01,1787.703,303.287,727.112,2505.5,1922.804
1986-10-01,1864.487,300.178,752.13,2592.292,2007.547
1987-01-01,1909.473,302.539,780.422,2594.993,2032.516
1987-04-01,1956.392,298.097,795.998,2687.323,2070.171
1987-07-01,1994.716,298.702,820.948,2764.686,2105.975
1987-10-01,2051.545,310.447,842.576,2817.489,2181.714
1988-01-01,2105.69,311.34,851.013,2861.897,2218.918
1988-04-01,2164.293,312.469,861.342,2946.903,2245.379
1988-07-01,2195.978,309.503,876.662,3027.059,2298.445
1988-10-01,2265.205,351.879,892.989,3100.556,2369.615
1989-01-01,2324.462,352.349,901.944,3141.1,2402.768
1989-04-01,2386.668,345.763,909.38,3225.251,2420.785
1989-07-01,2406.847,349.049,926.145,3305.312,2471.503
1989-10-01,2455.221,354.82,940.363,3383.95,2550.522
1990-01-01,2512.026,353.463,958.689,3449.737,2604.054
1990-04-01,2551.437,363.125,969.98,3520.061,2648.428
1990-07-01,2571.285,366.659,980.361,3580.998,2725.179
1990-10-01,2585.389,368.739,987.42,3644.394,2830.77
1991-01-01,2578.249,380.134,1001.003,3668.111,2875.427
1991-04-01,2581.51,364.545,1018.907,3731.411,2927.929
1991-07-01,2559.824,369.099,1047.76,3771.517,3037.876
1991-10-01,2526.64,375.474,1078.595,3853.2,3147.363
1992-01-01,2546.954,374.425,1080.582,3872.382,3224.431
1992-04-01,2550.152,387.934,1090.174,3915.316,3297.691
1992-07-01,2546.442,392.053,1103.719,3981.933,3388.752
1992-10-01,2545.0,395.548,1095.095,4053.865,3491.131
1993-01-01,2589.383,403.53,1112.632,4059.933,3543.006
1993-04-01,2631.538,417.516,1138.174,4126.251,3613.622
1993-07-01,2658.548,445.027,1153.067,4211.174,3674.514
1993-10-01,2690.672,484.808,1153.04,4303.289,3784.333
1994-01-01,2766.829,457.268,1149.992,4334.775,3827.646
1994-04-01,2810.992,455.189,1137.325,4419.381,3844.798
1994-07-01,2841.769,458.397,1125.325,4507.679,3896.174
1994-10-01,2888.046,473.421,1107.497,4627.257,3977.825
1995-01-01,2958.875,487.534,1092.793,4655.471,4034.816
1995-04-01,3025.657,502.899,1084.057,4745.66,4070.417
1995-07-01,3045.598,526.322,1058.797,4857.362,4105.03
1995-10-01,3094.165,602.524,1046.732,4950.231,4151.993
1996-01-01,3140.906,614.197,1042.115,5019.196,4228.065
1996-04-01,3197.758,625.083,1043.896,5117.643,4216.407
1996-07-01,3226.236,657.972,1024.878,5214.123,4268.812
1996-10-01,3244.366,689.142,1026.189,5313.287,4343.083
1997-01-01,3310.522,696.993,1034.366,5353.306,4381.251
1997-04-01,3377.354,716.292,1046.893,5447.73,4321.557
1997-07-01,3455.668,746.718,1055.63,5566.763,4347.737
1997-10-01,3521.875,763.591,1076.946,5661.212,4406.492
1998-01-01,3637.122,788.17,1096.757,5716.262,4421.163
1998-04-01,3757.865,812.394,1120.962,5854.457,4350.424
1998-07-01,3823.962,808.552,1125.239,5969.883,4336.375
1998-10-01,3909.803,805.954,1143.753,6116.429,4395.086
1999-01-01,4042.668,809.527,1162.785,6202.354,4392.185
1999-04-01,4120.753,806.736,1175.256,6357.201,4294.362
1999-07-01,4256.869,825.11,1176.73,6517.459,4290.764
1999-10-01,4312.098,776.679,1181.009,6687.927,4365.00
2000-01-01,4442.727,796.953,1184.349,6794.132,4326.404
2000-04-01,4562.16,779.534,1191.301,6939.094,4147.231
2000-07-01,4611.708,810.885,1185.474,7123.053,4107.482
2000-10-01,4658.173,837.115,1197.892,7258.719,4090.025
2001-01-01,4677.498,846.659,1225.169,7314.567,4122.03
2001-04-01,4768.672,834.084,1259.385,7517.592,3976.229
2001-07-01,4789.378,812.2,1265.264,7771.504,4058.181
2001-10-01,4794.505,829.453,1303.35,7901.471,4145.237
2002-01-01,4799.444,846.789,1325.391,8031.763,4183.973
2002-04-01,4791.082,871.001,1375.525,8217.636,4213.894
2002-07-01,4778.155,872.64,1398.907,8435.797,4314.504
2002-10-01,4790.054,944.47,1447.90,8679.912,4427.328
2003-01-01,4782.042,921.085,1474.767,8866.59,4517.892
2003-04-01,4794.424,942.576,1529.588,9252.597,4585.543
2003-07-01,4814.253,912.842,1538.504,9507.93,4702.629
2003-10-01,4810.257,1144.398,1568.435,9765.343,4848.035
2004-01-01,4869.971,1171.981,2343.54,9956.248,4970.105
2004-04-01,4890.426,1164.328,2406.891,10267.928,5018.844
2004-07-01,4933.356,1208.468,2440.761,10544.029,5117.264
2004-10-01,4992.668,1265.367,2484.329,10895.997,5250.883
2005-01-01,5036.439,1281.046,2537.812,11101.752,5403.995
2005-04-01,5119.218,1311.352,2585.77,11432.766,5356.972
2005-07-01,5162.153,1330.567,2612.111,11791.373,5443.776
2005-10-01,5260.876,1325.682,2648.935,12087.976,5584.775
2006-01-01,5338.191,1367.435,2654.576,12443.838,5726.756
2006-04-01,5462.294,1447.856,2693.435,12798.132,5656.53
2006-07-01,5509.962,1566.738,2712.842,13122.022,5714.828
2006-10-01,5665.824,1630.2,2765.363,13384.672,5803.923
2007-01-01,5774.81,1696.392,2825.373,13566.439,5940.824
2007-04-01,5981.358,1806.457,2874.974,13857.797,5819.983
2007-07-01,6175.326,1910.574,2891.244,14094.37,5941.94
2007-10-01,6335.789,1959.704,2939.816,14286.735,6074.315
2008-01-01,6443.803,1980.695,2963.428,14400.054,6259.453
2008-04-01,6576.214,1909.198,2969.99,14350.118,6217.605
2008-07-01,6631.065,1680.613,2966.194,14460.392,6762.926
2008-10-01,6590.666,1562.126,2980.461,14196.975,7376.817
2009-01-01,6513.488,1584.77,3009.467,14092.343,7820.167
2009-04-01,6468.737,1731.339,3042.528,14062.624,8162.894
2009-07-01,6349.359,1891.395,3063.203,14048.976,8557.508
2009-10-01,6181.888,1968.899,3123.325,14033.693,8882.645
2010-01-01,6153.669,2049.308,3156.759,13932.644,9343.729
2010-04-01,6088.346,2040.246,3153.252,13871.04,9692.462
2010-07-01,6130.341,2220.402,3161.22,13809.592,10099.248
2010-10-01,6080.03,2247.711,3218.495,13801.193,10528.562
2011-01-01,6101.312,2340.724,3199.815,13768.01,10774.648
2011-04-01,6182.772,2487.463,3170.025,13713.487,10885.275
2011-07-01,6276.984,2460.318,3168.013,13698.96,11276.944
2011-10-01,6382.835,2469.789,3185.975,13689.038,11667.25
2012-01-01,6424.337,2458.923,3192.329,13627.234,12049.105
2012-04-01,6493.924,2514.21,3207.972,13594.556,12253.605
2012-07-01,6626.571,2674.803,3203.292,13606.025,12503.109
2012-10-01,6758.111,2775.457,3185.188,13578.516,12847.828
2013-01-01,6804.363,2840.368,3193.226,13549.394,13195.652
2013-04-01,6934.826,2790.778,3174.735,13570.258,13104.008
2013-07-01,7089.791,2873.005,3149.558,13628.758,13257.919
2013-10-01,7167.223,2897.47,3180.003,13802.481,13705.127
2014-01-01,7291.854,2986.001,3184.428,13791.338,13954.551
2014-04-01,7392.117,3181.421,3171.473,13855.467,13911.001
2014-07-01,7502.504,3172.424,3098.895,13841.652,14141.265
2014-10-01,7654.993,3207.799,3108.63,13906.701,14441.054
2015-01-01,7825.63,3224.431,3132.442,13880.808,14519.909
2015-04-01,8038.49,3198.216,3140.25,14005.101,14505.616
2015-07-01,8127.094,3117.947,3131.655,14121.081,14600.73
2015-10-01,8221.099,3101.084,3123.799,14129.519,15165.626
2016-01-01,8395.472,3167.923,3140.305,14138.663,15401.755
2016-04-01,8447.25,3231.372,3161.755,14272.057,15409.707
2016-07-01,8542.896,3255.412,3155.057,14446.678,15668.297
2016-10-01,8488.127,3182.663,3155.402,14549.298,16008.291
2017-01-01,8645.908,3318.983,3142.938,14605.625,16005.625
2017-04-01,8769.413,3426.608,3139.374,14760.223,15964.128
2017-07-01,8818.978,3531.241,3124.28,14907.146,16267.151
2017-10-01,8989.269,3729.971,3154.759,15103.051,16606.939
2018-01-01,9098.944,3811.252,3136.699,15150.526,17070.617
2018-04-01,9473.792,3798.741,3135.619,15278.37,17114.196
2018-07-01,9547.909,3864.156,3127.583,15446.559,17440.621
2018-10-01,9680.592,3891.069,3115.548,15575.759,17865.026
2019-01-01,9917.199,3934.198,3099.757,15593.034,18143.779
2019-04-01,10038.844,4115.038,3082.381,15786.475,18053.021
2019-07-01,10182.32,4184.85,3079.249,15975.105,18616.233
2019-10-01,10230.245,4248.605,3114.306,16156.544,19039.898
2020-01-01,10992.329,4051.181,3120.9,16205.209,19539.608
2020-04-01,11452.959,4266.519,3142.795,16199.82,22391.682
2020-07-01,11306.487,4346.186,3178.782,16445.094,22920.579
2020-10-01,11243.175,4508.767,3205.568,16701.81,23621.06
2021-01-01,11454.773,4658.097,3230.179,16869.592,23962.809
2021-04-01,11470.275,4845.583,3248.443,17217.702,24321.359
2021-07-01,11629.804,5053.027,3265.684,17574.619,24449.968
2021-10-01,11834.188,5141.514,3274.124,17970.109,25304.484
2022-01-01,12222.481,4945.945,3250.665,18163.856,26035.871
2022-04-01,12404.747,4758.133,3253.701,18520.114,26070.381
2022-07-01,12473.957,4687.083,3243.296,18839.56,26488.094
2022-10-01,12573.923,4751.814,3220.85,19054.835,26851.376
2023-01-01,12754.437,4815.012,3224.994,19068.887,27248.228
